family_id,bairro,rua,localidade_tipo,n_membros,renda_total,renda_per_capita,recebe_bolsa_familia,recebe_bpc,tem_deficiencia,idade_responsavel,escolaridade_responsavel,tipo_moradia,agua,esgoto,sem_registro,nis_fake,lat,lon,faixa_renda,faixa_etaria_responsavel
FAM00001,BELA VISTA,RUA FRANCISCO FERREIRA FONTENELES,URBANA,5,181,36.2,0,1,1,65,FUNDAMENTAL INCOMPLETO,ALVENARIA COM REVESTIMENTO,Poço,Rede coletora,0,NIS100001,-3.621178,-39.503291,EXTREMA POBREZA,IDOSO (60+)
FAM00002,ANGELIM,RUA NOVA - ANGELIM,URBANA,4,800,200.0,0,1,1,65,FUNDAMENTAL INCOMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100002,-3.623985,-39.50121,POBREZA,IDOSO (60+)
FAM00003,ALTO DA COLINA,RUA DO COMÉRCIO,URBANA,7,287,41.0,0,1,1,65,FUNDAMENTAL INCOMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100003,-3.622717,-39.505643,EXTREMA POBREZA,IDOSO (60+)
FAM00004,BELA VISTA,RUA DO CRUZEIRO - BELA VISTA,URBANA,7,600,85.71,1,1,1,65,SUPERIOR INCOMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100004,-3.620371,-39.504588,EXTREMA POBREZA,IDOSO (60+)
FAM00005,CASINHAS,RUA PRINCIPAL,URBANA,2,800,400.0,0,0,1,65,MÉDIO COMPLETO,ALVENARIA SEM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100005,-3.627926,-39.501086,BAIXA RENDA,IDOSO (60+)
FAM00006,PRATA DOS GALDINOS,TRAVESSA DO SOL,RURAL,6,194,32.33,1,1,1,65,MÉDIO COMPLETO,PALHA,Poço,Fossa séptica,0,NIS100006,-3.621539,-39.510962,EXTREMA POBREZA,IDOSO (60+)
FAM00007,CENTRO,RUA FRANCISCO FERREIRA FONTENELES - CENTRO,URBANA,6,305,50.83,0,1,1,65,MÉDIO COMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100007,-3.622324,-39.504113,EXTREMA POBREZA,IDOSO (60+)
FAM00008,AGUAÍ,RUA NOVA - AGUAÍ,RURAL,5,373,74.6,1,1,1,65,FUNDAMENTAL INCOMPLETO,TAIPA REVESTIDA,Poço,Vala a céu aberto,0,NIS100008,-3.627154,-39.505677,EXTREMA POBREZA,IDOSO (60+)
FAM00009,BELMONTE,RUA DA IGREJA - BELMONTE,RURAL,4,211,52.75,1,0,0,61,SUPERIOR COMPLETO,ALVENARIA COM REVESTIMENTO,Poço,Fossa rudimentar,0,NIS100009,-3.631106,-39.508141,EXTREMA POBREZA,IDOSO (60+)
FAM00010,LAJEDOS,RUA FRANCISCO FERREIRA FONTENELES - LAJEDOS,URBANA,8,983,122.88,1,0,0,25,MÉDIO COMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Rede coletora,0,NIS100010,-3.626769,-39.504391,POBREZA,ADULTO JOVEM (19-30)
FAM00011,CASINHAS,RUA NOVA - CASINHAS,URBANA,5,497,99.4,1,0,0,36,FUNDAMENTAL INCOMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Fossa séptica,0,NIS100011,-3.626006,-39.50112,EXTREMA POBREZA,ADULTO (31-60)
FAM00012,SÃO JOÃO,RUA DO CRUZEIRO - SÃO JOÃO,RURAL,4,368,92.0,0,0,0,39,MÉDIO COMPLETO,ALVENARIA COM REVESTIMENTO,Cisterna,Fossa rudimentar,0,NIS100012,-3.618359,-39.508648,EXTREMA POBREZA,ADULTO (31-60)
FAM00013,CASINHAS,TRAVESSA DO SOL,URBANA,4,577,144.25,0,0,0,24,MÉDIO COMPLETO,ALVENARIA COM REVESTIMENTO,Rede geral,Fossa séptica,0,NIS100013,-3.625997,-39.497993,POBREZA,ADULTO JOVEM (19-30)
FAM00014,ALTO DA COLINA,RUA JOSÉ DE ALENCAR - ALTO DA COLINA,URBANA,3,1087,362.33,0,0,0,38,FUNDAMENTAL COMPLETO,ALVENARIA SEM REVESTIMENTO,Rede geral,Rede coletora,1,NIS100014,-3.623997,-39.503201,BAIXA RENDA,ADULTO (31-60)
FAM00015,PRATA DOS GALDINOS,RUA DA ESCOLA,RURAL,6,441,73.5,1,0,0,52,SUPERIOR COMPLETO,ALVENARIA COM REVESTIMENTO,Cisterna,Fossa rudimentar,0,NIS100015,-3.621453,-39.510278,EXTREMA POBREZA,ADULTO (31-60)
