family_id,bairro,rua,localidade_tipo,n_membros,renda_total,renda_per_capita,recebe_bolsa_familia,recebe_bpc,tem_deficiencia,idade_responsavel,escolaridade_responsavel,tipo_moradia,agua,esgoto,sem_registro,nis_fake,lat,lon
FAM00001,Bela Vista,Rua Francisco Ferreira Fonteneles,urbana,5,181,36.2,0,1,1,65,Fundamental incompleto,Alvenaria com revestimento,Poço,Rede coletora,0,NIS100001,-3.621178,-39.503291
FAM00002,Angelim,Rua Nova - Angelim,urbana,4,800,200.0,0,1,1,65,Fundamental incompleto,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100002,-3.623985,-39.50121
FAM00003,Alto da Colina,Rua do Comércio,urbana,7,287,41.0,0,1,1,65,Fundamental incompleto,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100003,-3.622717,-39.505643
FAM00004,Bela Vista,Rua do Cruzeiro - Bela Vista,urbana,7,600,85.71,1,1,1,65,Superior incompleto,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100004,-3.620371,-39.504588
FAM00005,Casinhas,Rua Principal,urbana,2,800,400.0,0,0,1,65,Médio completo,Alvenaria sem revestimento,Rede geral,Rede coletora,0,NIS100005,-3.627926,-39.501086
FAM00006,Prata dos Galdinos,Travessa do Sol,rural,6,194,32.33,1,1,1,65,Médio completo,Palha,Poço,Fossa séptica,0,NIS100006,-3.621539,-39.510962
FAM00007,Centro,Rua Francisco Ferreira Fonteneles - Centro,urbana,6,305,50.83,0,1,1,65,Médio completo,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100007,-3.622324,-39.504113
FAM00008,Aguaí,Rua Nova - Aguaí,rural,5,373,74.6,1,1,1,65,Fundamental incompleto,Taipa revestida,Poço,Vala a céu aberto,0,NIS100008,-3.627154,-39.505677
FAM00009,Belmonte,Rua da Igreja - Belmonte,rural,4,211,52.75,1,0,0,61,Superior completo,Alvenaria com revestimento,Poço,Fossa rudimentar,0,NIS100009,-3.631106,-39.508141
FAM00010,Lajedos,Rua Francisco Ferreira Fonteneles - Lajedos,urbana,8,983,122.88,1,0,0,25,Médio completo,Alvenaria com revestimento,Rede geral,Rede coletora,0,NIS100010,-3.626769,-39.504391
FAM00011,Casinhas,Rua Nova - Casinhas,urbana,5,497,99.4,1,0,0,36,Fundamental incompleto,Alvenaria com revestimento,Rede geral,Fossa séptica,0,NIS100011,-3.626006,-39.50112
FAM00012,São João,Rua do Cruzeiro - São João,rural,4,368,92.0,0,0,0,39,Médio completo,Alvenaria com revestimento,Cisterna,Fossa rudimentar,0,NIS100012,-3.618359,-39.508648
FAM00013,Casinhas,Travessa do Sol,urbana,4,577,144.25,0,0,0,24,Médio completo,Alvenaria com revestimento,Rede geral,Fossa séptica,0,NIS100013,-3.625997,-39.497993
FAM00014,Alto da Colina,Rua José de Alencar - Alto da Colina,urbana,3,1087,362.33,0,0,0,38,Fundamental completo,Alvenaria sem revestimento,Rede geral,Rede coletora,1,NIS100014,-3.623997,-39.503201
FAM00015,Prata dos Galdinos,Rua da Escola,rural,6,441,73.5,1,0,0,52,Superior completo,Alvenaria com revestimento,Cisterna,Fossa rudimentar,0,NIS100015,-3.621453,-39.510278
